age,gender,cgpa,branch,internships_count,projects_count,coding_skill_score,aptitude_score,communication_skill_score,logical_reasoning_score,mock_interview_score,attendance_percentage,backlogs,placement_status,salary_package_lpa
23,Male,8.45,ECE,2,0,79,99,44,96,96,74.1,0,Placed,14.83
24,Male,8.7,CIVIL,2,0,51,80,54,54,99,91.8,0,Placed,13.95
22,Female,7.55,AIML,2,3,68,65,62,90,49,87.4,0,Placed,12.63
24,Male,9.85,AIML,4,1,94,68,70,69,64,84.3,0,Placed,19.42
24,Male,9.78,AIML,3,1,59,80,69,46,77,97.2,0,Placed,16.76
21,Male,7.06,CSE,1,3,34,54,46,44,72,65.0,0,Not Placed,0.0
22,Female,9.1,MECH,1,4,55,97,59,53,49,87.6,0,Placed,14.19
22,Female,7.72,ECE,3,3,92,76,78,69,85,64.7,0,Placed,15.01
22,Male,7.56,CSE,1,1,75,58,42,62,32,65.5,0,Not Placed,0.0
24,Female,5.27,MECH,1,0,60,95,42,55,97,80.3,3,Not Placed,0.0
23,Male,7.87,ECE,2,3,70,48,70,63,40,61.0,0,Placed,13.33
22,Female,9.5,ECE,2,2,41,80,46,82,91,80.0,0,Placed,14.67
25,Male,8.9,ECE,0,0,46,98,40,95,90,60.4,0,Not Placed,0.0
24,Male,8.93,AIML,0,4,47,56,95,60,87,84.1,0,Placed,13.01
21,Female,5.8,AIML,1,0,95,71,66,82,58,72.5,1,Not Placed,0.0
23,Male,6.79,AIML,2,4,68,67,89,69,67,63.3,0,Not Placed,0.0
25,Female,6.17,ECE,0,0,62,54,40,51,51,91.2,3,Not Placed,0.0
25,Male,6.58,MBA,0,1,37,97,45,92,70,75.6,0,Not Placed,0.0
21,Female,7.9,ECE,2,4,55,92,59,84,92,77.8,0,Placed,12.43
23,Female,6.82,AIML,0,4,64,100,78,79,67,75.0,0,Not Placed,0.0
24,Male,7.8,ECE,3,3,86,81,83,69,79,63.3,0,Placed,14.68
20,Female,7.19,AIML,3,0,50,67,42,77,36,78.4,0,Not Placed,0.0
23,Female,6.43,AIML,2,4,66,48,98,61,53,86.6,2,Not Placed,0.0
21,Female,5.48,AIML,2,4,34,66,41,41,75,96.1,2,Not Placed,0.0
25,Male,9.46,MBA,0,0,46,58,99,62,54,90.6,0,Placed,13.84
24,Female,5.06,MECH,1,0,54,46,86,81,58,63.2,3,Not Placed,0.0
23,Male,5.01,ECE,4,2,90,64,71,62,96,66.6,1,Not Placed,0.0
20,Male,9.13,CSE,3,3,66,69,98,61,51,61.8,0,Placed,15.93
20,Female,9.98,AIML,3,4,95,52,59,69,38,64.8,0,Placed,19.17
22,Female,8.64,MBA,2,0,42,41,75,66,78,79.2,0,Not Placed,0.0
22,Male,5.08,CSE,1,4,69,57,66,73,65,68.8,1,Not Placed,0.0
21,Male,6.13,MECH,2,2,71,92,59,50,34,85.9,3,Not Placed,0.0
23,Male,9.86,ECE,0,2,99,79,58,68,33,61.3,0,Placed,17.77
23,Male,9.04,MBA,1,4,54,97,94,76,53,94.3,0,Placed,14.17
25,Male,7.83,AIML,0,3,71,92,60,45,70,87.1,0,Placed,12.18
25,Female,6.18,AIML,3,1,39,47,82,55,43,98.8,3,Not Placed,0.0
25,Male,5.07,AIML,2,4,72,59,59,99,41,98.1,2,Not Placed,0.0
22,Female,5.1,MBA,2,2,97,48,44,59,73,87.7,1,Not Placed,0.0
23,Female,8.06,CSE,4,3,57,52,94,49,38,66.3,0,Placed,13.85
23,Male,5.11,MECH,1,0,53,91,59,85,95,68.9,3,Not Placed,0.0
20,Male,9.97,ECE,3,3,70,60,51,77,67,71.1,0,Placed,17.49
22,Male,5.92,MECH,4,3,90,67,87,76,86,77.1,2,Not Placed,0.0
24,Male,8.55,AIML,4,4,34,83,100,98,76,82.8,0,Placed,13.56
22,Female,5.78,MECH,2,3,40,99,49,49,84,87.3,3,Not Placed,0.0
24,Male,7.7,CSE,1,0,37,46,92,83,31,63.0,0,Not Placed,0.0
20,Female,5.4,CIVIL,2,4,50,96,61,64,47,84.4,2,Not Placed,0.0
21,Male,8.83,CIVIL,1,2,93,70,77,98,95,62.4,0,Placed,15.99
23,Male,7.92,ECE,4,0,34,92,67,61,86,93.1,0,Placed,12.27
20,Male,5.43,ECE,0,4,63,62,51,71,93,61.6,2,Not Placed,0.0
23,Male,9.24,MECH,3,4,38,52,78,56,56,75.6,0,Placed,14.38
25,Male,7.74,ECE,4,1,67,84,49,65,82,76.8,0,Placed,13.82
21,Male,9.61,MBA,2,0,72,75,87,55,88,82.8,0,Placed,16.66
21,Female,9.58,CSE,3,3,39,41,100,49,58,63.8,0,Placed,15.23
20,Female,9.6,AIML,4,0,41,73,74,56,43,97.3,0,Placed,15.81
21,Male,5.39,AIML,1,0,47,44,87,41,97,75.3,2,Not Placed,0.0
24,Male,5.6,MECH,2,1,41,41,83,41,72,75.8,3,Not Placed,0.0
21,Male,9.94,AIML,4,3,60,86,79,68,58,69.7,0,Placed,17.42
23,Male,7.44,MECH,1,1,40,73,76,85,86,91.2,0,Not Placed,0.0
23,Male,6.19,ECE,1,1,56,41,56,98,62,60.3,2,Not Placed,0.0
23,Male,8.85,ECE,1,1,50,59,91,43,50,64.2,0,Not Placed,0.0
23,Male,6.32,MBA,3,0,42,47,66,69,70,78.8,2,Not Placed,0.0
24,Male,8.64,MBA,2,1,74,62,91,100,30,98.7,0,Placed,14.89
22,Male,9.19,CSE,1,2,76,76,85,97,56,61.4,0,Placed,15.66
25,Male,8.92,AIML,4,3,54,55,95,51,31,62.5,0,Placed,15.2
20,Female,6.37,MBA,1,3,93,94,68,73,93,88.6,3,Not Placed,0.0
23,Male,7.01,CSE,2,1,99,61,65,53,80,89.4,0,Placed,13.51
21,Male,7.07,CIVIL,3,0,57,95,48,63,83,95.9,0,Not Placed,0.0
23,Female,7.46,MBA,1,4,49,85,90,63,59,83.1,0,Placed,10.77
21,Female,5.84,CSE,4,4,70,47,51,98,30,76.1,2,Not Placed,0.0
25,Female,7.26,MECH,2,0,33,94,82,57,58,78.0,0,Not Placed,0.0
25,Female,7.55,MECH,1,1,98,92,65,64,42,77.3,0,Placed,13.99
25,Male,7.66,CSE,3,1,53,93,72,64,72,98.9,0,Placed,12.33
21,Female,9.1,ECE,0,2,46,82,71,80,70,75.2,0,Placed,13.38
23,Female,7.59,CIVIL,4,4,34,82,50,64,87,63.8,0,Placed,11.62
25,Male,6.15,CSE,1,4,86,65,100,67,43,71.6,2,Not Placed,0.0
24,Male,8.32,MBA,1,3,55,79,68,69,70,98.4,0,Placed,12.64
21,Female,8.99,ECE,0,1,46,62,98,94,96,77.1,0,Not Placed,0.0
21,Male,6.6,CSE,2,0,85,55,47,64,83,72.6,0,Not Placed,0.0
23,Male,8.23,AIML,0,1,37,60,64,63,35,72.4,0,Not Placed,0.0
21,Male,5.73,MBA,2,1,93,97,59,97,75,60.4,2,Not Placed,0.0
21,Male,6.71,MBA,1,2,98,79,60,79,30,85.3,0,Placed,12.68
25,Male,9.55,MECH,0,0,39,91,43,78,58,89.0,0,Placed,13.45
23,Female,9.56,AIML,1,2,79,68,75,52,55,74.1,0,Placed,16.46
25,Female,7.88,AIML,0,2,84,93,82,41,87,94.9,0,Placed,13.37
25,Male,8.51,MBA,1,2,43,59,68,73,32,89.7,0,Placed,12.32
23,Female,9.27,CIVIL,1,2,56,51,58,55,89,84.0,0,Placed,14.41
20,Male,9.79,ECE,1,1,34,76,65,87,43,88.2,0,Placed,14.09
